Category,Sub-Category,Product Name,similar_products,similar_products_vectors,top_similar_products,sku
Technology,Accessories,SanDisk Cruzer 16 GB USB Flash Drive,Technology Accessories SanDisk Cruzer 16 GB USB Flash Drive,"[-0.45288143  0.11966157  0.17696741 -0.5399617   0.5172242  -0.24442445
 -0.07684486 -0.05210571  0.35852045  0.14213115  0.21912114 -0.12102999
 -0.27999416 -0.21205756  0.23196514  0.32140827 -0.05077556  0.23318657
 -0.02377342  0.29350427 -0.10432573 -0.5471715   0.165501    0.31374702
  0.58954155  0.24828002  0.04229057 -0.00904571  0.04986614  0.08581572
  0.07295857  0.6283029  -0.67341137  0.06474143  0.29502112 -0.09549714
  0.242232    0.03322626  0.42151275 -0.2146183   0.38010874 -0.41588715
  0.07968872 -0.5381757  -0.34388214  0.29616144  0.7511     -0.08052999
  0.2641329  -0.01882143 -0.28830618  0.08007999 -0.09116628  0.11658143
  0.48453858 -0.85494    -0.23191258  0.18621548  1.0191014  -0.3858943
  0.17543413  0.16674499 -0.3155157   0.47704825 -0.067329    0.044173
  0.22234285 -0.06048867  0.36403042  0.09458842 -0.04564294  0.13500771
  0.3261197  -0.12810428 -0.19919144  0.42884856  0.49785283  0.20663428
 -0.32825     0.06264185  0.50233257 -0.06104828 -0.336724    0.01966329
 -0.75219184  0.5807148   0.31662586  0.00431857  0.08738314  0.03973401
 -0.10575415  0.9119424   0.08060858 -0.07160286  0.19927427 -0.19216001
  0.16609971 -0.22188044  0.9544501  -0.22420558]","['sku0203', 'sku1766', 'sku0047', 'sku0464', 'sku0026']",sku4661
Technology,Accessories,Imation 30456 USB Flash Drive 8GB,Technology Accessories Imation 30456 USB Flash Drive 8GB,"[-3.12331676e-01  8.57778415e-02  1.91357002e-01 -4.78652000e-01
  5.15860856e-01 -3.11536819e-01 -4.40573394e-02  4.45566662e-02
  5.32315493e-01  1.34765178e-01  5.40463366e-02 -1.44306660e-01
 -1.31329834e-01 -2.32576653e-01  3.25548321e-01  2.74668336e-01
 -1.53889908e-02  2.64960319e-01  9.18050110e-02  1.53715000e-01
 -9.71441567e-02 -5.61670005e-01  1.94571510e-01  2.66153157e-01
  5.94388485e-01  2.75393337e-01 -4.04566638e-02  3.07167578e-03
 -1.43594518e-01  2.16616709e-02 -1.74516644e-02  5.43776691e-01
 -5.75500011e-01  1.84342846e-01  2.73560017e-01  4.39083390e-02
  1.50949001e-01 -1.10975675e-01  5.93975008e-01 -1.04464673e-01
  2.26480186e-01 -2.50449985e-01  2.60344353e-02 -4.82266665e-01
 -4.77754503e-01  1.64983332e-01  6.93851709e-01 -6.09466583e-02
  1.40729174e-01 -5.55666303e-03 -2.92492211e-01  1.53918326e-01
 -2.29440644e-01  2.35976651e-01  3.87135983e-01 -8.33661616e-01
 -2.39734665e-01  1.33376881e-01  1.22550666e+00 -2.39743337e-01
  1.44061716e-02  2.10811988e-01 -5.82816638e-02  2.39358008e-01
 -9.66332387e-03 -1.47116840e-01  2.69764990e-01 -1.70295164e-01
  2.47135505e-01  6.92316592e-02 -1.06496774e-01  4.67556566e-02
  3.01298320e-01 -1.18758343e-01 -2.48036668e-01  1.37254998e-01
  5.09238303e-01  2.80813336e-01 -1.35258332e-01 -1.07283390e-03
  4.51194674e-01  1.50323674e-01 -4.73619670e-01  1.52252197e-01
 -8.32764804e-01  4.38365668e-01  2.84716338e-01  2.53516585e-02
  8.96401107e-02 -1.32390499e-01  1.56666543e-02  7.09446192e-01
  1.87576711e-02 -2.19504997e-01  4.35366631e-02 -3.75158340e-01
  2.56607682e-01 -2.21754983e-01  8.56581688e-01 -1.22043163e-01]","['sku0464', 'sku0047', 'sku0428', 'sku0173', 'sku0578']",sku4679
Technology,Phones,Panasonic KX TS208W Corded phone,Technology Phones Panasonic KX TS208W Corded phone,"[-0.02014917 -0.08430334  0.24457999  0.27851868 -0.01457284 -0.24898417
  0.29953074 -0.39090076  0.48058835 -0.04602    -0.09379501 -0.30134067
  0.02798899  0.16659302  0.21563    -0.2077205   0.05931169 -0.02957971
  0.286925    0.23300003 -0.2704945  -0.1733752   0.36355916  0.52460337
  0.00767316 -0.13044167  0.36742052  0.40586832 -0.31931183  0.04248167
  0.25252166  0.61155164  0.02040181  0.3378593   0.40026215 -0.13020667
 -0.51508665 -0.4069173   0.36755076 -0.21337934  0.23829333 -0.28100333
 -0.40313068 -0.19974734 -1.08968    -0.03541234 -0.03620167  0.13678665
  0.24008332 -0.338029   -0.04647555  0.16770166 -0.00664767  0.12571067
 -0.05288699 -0.7318785  -0.68649     0.24328835  1.0941783   0.18873835
  0.14307167 -0.05041667  0.05364333 -0.09572817 -0.07182734 -0.09386566
  0.21014202  0.46616384  0.37987366  0.23855186  0.00126916  0.02996967
  0.361775   -0.3088517   0.15012167  0.32026336  0.48950863 -0.26028833
 -0.08594266  0.11043616  0.57505995 -0.53566307  0.06396001  0.2213605
 -0.86345005 -0.04775683  0.21746068 -0.21749665  0.24819517 -0.12786667
  0.45619833  0.4071479   0.3277288  -0.49848998  0.06865983 -0.02828633
  0.13131233 -0.2651432   0.78567284  0.00764767]","['sku1484', 'sku1681', 'sku1774', 'sku0960', 'sku0041']",sku4688
Office Supplies,Paper,Xerox 19,Office Supplies Paper Xerox 19,"[-2.4032301e-01 -1.5749998e-02  3.8382448e-03  7.1035251e-02
  2.6365525e-01 -4.6919000e-01  3.9322510e-02  3.2689050e-01
  1.6218650e-01  1.8251576e-01  8.5578002e-02 -2.5753164e-01
  1.5037404e-01  3.6818752e-01 -2.4232826e-01 -2.5726375e-01
  5.3191000e-01  7.0882753e-02  3.6146000e-01 -5.8367002e-01
 -4.1832257e-02  1.1245750e-01  1.6279506e-02  2.5738752e-01
 -2.1933001e-01 -4.5168701e-01  1.5933500e-01 -2.7030075e-01
 -4.6366751e-01 -1.5116750e-01  4.3068075e-01  3.9206249e-01
 -2.7006751e-01 -1.2753750e-01 -4.7155249e-01  3.3237749e-01
  7.6539993e-02 -7.3067248e-02  2.6609749e-01 -4.3206251e-01
 -8.7329999e-02 -4.4424748e-01 -3.5692251e-01 -3.4254000e-01
 -1.5167999e-01  3.9675489e-02 -1.6122748e-01 -3.0448997e-01
 -2.4209702e-01 -4.5844001e-01  2.9263049e-01 -1.7106251e-01
  5.2227750e-02  7.5650227e-01 -6.5029994e-02 -1.5150200e+00
 -3.8243026e-01 -4.7055002e-02  1.4239700e+00  1.1609003e-02
 -8.7408304e-02 -2.1245250e-01 -4.4393975e-01  3.6853150e-01
  1.8426001e-01 -2.7576250e-01  4.9641499e-01  2.9115748e-01
  5.0292748e-01  2.2194077e-01  3.8728803e-02  2.1218273e-01
  3.0972006e-02 -2.9950252e-01  2.2171150e-01  1.0124998e-01
  2.3267749e-01  3.2435751e-01 -1.0018024e+00  3.0188078e-01
  6.1925751e-01  1.0820501e-01 -4.6360075e-01  4.0998924e-01
 -1.0180351e+00 -4.4175327e-01  4.0242749e-01 -1.9083151e-01
  1.0234974e-03 -9.3357757e-02  4.1245997e-01 -4.1873757e-02
  2.8908527e-01  2.8423579e-02 -3.6909500e-01  9.9650174e-03
  3.1374598e-01 -6.7124993e-02  3.5218501e-01  2.9398325e-01]","['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku4721
Technology,Accessories,SanDisk Cruzer 4 GB USB Flash Drive,Technology Accessories SanDisk Cruzer 4 GB USB Flash Drive,"[-0.45288143  0.11966157  0.17696741 -0.5399617   0.5172242  -0.24442445
 -0.07684486 -0.05210571  0.35852045  0.14213115  0.21912114 -0.12102999
 -0.27999416 -0.21205756  0.23196514  0.32140827 -0.05077556  0.23318657
 -0.02377342  0.29350427 -0.10432573 -0.5471715   0.165501    0.31374702
  0.58954155  0.24828002  0.04229057 -0.00904571  0.04986614  0.08581572
  0.07295857  0.6283029  -0.67341137  0.06474143  0.29502112 -0.09549714
  0.242232    0.03322626  0.42151275 -0.2146183   0.38010874 -0.41588715
  0.07968872 -0.5381757  -0.34388214  0.29616144  0.7511     -0.08052999
  0.2641329  -0.01882143 -0.28830618  0.08007999 -0.09116628  0.11658143
  0.48453858 -0.85494    -0.23191258  0.18621548  1.0191014  -0.3858943
  0.17543413  0.16674499 -0.3155157   0.47704825 -0.067329    0.044173
  0.22234285 -0.06048867  0.36403042  0.09458842 -0.04564294  0.13500771
  0.3261197  -0.12810428 -0.19919144  0.42884856  0.49785283  0.20663428
 -0.32825     0.06264185  0.50233257 -0.06104828 -0.336724    0.01966329
 -0.75219184  0.5807148   0.31662586  0.00431857  0.08738314  0.03973401
 -0.10575415  0.9119424   0.08060858 -0.07160286  0.19927427 -0.19216001
  0.16609971 -0.22188044  0.9544501  -0.22420558]","['sku0203', 'sku1766', 'sku0047', 'sku0464', 'sku0026']",sku4730
Technology,Accessories,AmazonBasics 3-Button USB Wired Mouse,Technology Accessories AmazonBasics 3-Button USB Wired Mouse,"[-0.2903254   0.23012182  0.292024   -0.5277044   0.52377796 -0.16614798
 -0.1302856  -0.18526211  0.615917    0.21486421  0.08382001 -0.2827488
 -0.12726781  0.03831601  0.48343882  0.32962197  0.02490381  0.31875238
  0.197534   -0.02398601 -0.253786   -0.464758    0.3569178  -0.1854202
  0.765312    0.156936    0.15741801 -0.30152497 -0.097138    0.38626522
  0.191048    0.611736   -0.2940054   0.1351142   0.71162605  0.132246
 -0.25605178 -0.1515522   0.47149602 -0.1876182   0.34419817 -0.2918276
 -0.10249801 -0.44424397 -0.73651135  0.2615962   0.498526    0.02043661
  0.00378     0.16017601 -0.39569062  0.24103399  0.1373432   0.09206801
 -0.02534399 -0.78962404 -0.302202    0.12149747  0.936159    0.03472
  0.21985021  0.43768397 -0.26055118  0.21055119  0.0514892  -0.00757399
  0.137608   -0.02471619  0.6353539   0.19206725 -0.09307001  0.06772459
  0.254695   -0.30986398 -0.44065398  0.038264    0.48827004  0.153334
 -0.10035019  0.1488858   0.44090018  0.0196164  -0.3581236   0.3517386
 -1.1295002   0.5967258   0.50645     0.007056   -0.0194278  -0.19149038
 -0.0278088   0.68262947  0.46108603 -0.379012    0.30808967 -0.1783452
  0.1018672  -0.53984994  0.98313797 -0.136514  ]","['sku1725', 'sku1619', 'sku1038', 'sku0435', 'sku0236']",sku4754
Office Supplies,Paper,14-7/8 x 11 Blue Bar Computer Printout Paper,Office Supplies Paper 14-7/8 x 11 Blue Bar Computer Printout Paper,"[-0.34194523  0.22965556  0.02297166 -0.14129233  0.22199553 -0.12845667
  0.09553833  0.04342377  0.05908844  0.16277033  0.23188151 -0.38422102
  0.26212445  0.16480222  0.072028    0.14283302  0.40465844  0.17683011
  0.20854667 -0.41798002 -0.12986656  0.02177011  0.02051945 -0.16007379
  0.27580667 -0.11625534  0.04139322 -0.33079308 -0.27393156 -0.09973089
  0.4061581   0.36253798 -0.17573999  0.09973434 -0.06798854  0.30211335
 -0.11800747 -0.03942878  0.22649032 -0.23298475 -0.01959667 -0.6015833
 -0.22534044 -0.38660997 -0.27537453 -0.03005089 -0.3227979  -0.03428655
 -0.04276735 -0.32021755  0.2226508   0.07365889  0.1424612   0.72041005
 -0.26886123 -1.6340232  -0.2525351   0.17692605  1.6203567   0.21272446
 -0.11689395  0.18295999 -0.33466434  0.14268889  0.32620445  0.04179744
  0.44388947  0.25571796  0.3129233   0.18689255 -0.16249555  0.33115652
  0.09263267 -0.06685046  0.03883268  0.3778133   0.17853777  0.2472071
 -0.653411   -0.05241854  0.43610817 -0.11371444 -0.42351678  0.06520011
 -0.91747886 -0.28741035  0.33852187 -0.31494546  0.17211601  0.09269888
  0.2116612   0.18752944  0.23881787  0.05224651 -0.19907887  0.03188756
 -0.00366023 -0.28669244  0.4538811  -0.04924189]","['sku1385', 'sku1147', 'sku0962', 'sku0448', 'sku0857']",sku4756
Office Supplies,Envelopes,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box","Office Supplies Envelopes Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box","[-0.23402241  0.06569285  0.3046914  -0.00615557  0.08078142  0.03409285
  0.07640428 -0.05268714  0.19834086  0.41058183  0.07740743 -0.29712132
 -0.09756143  0.13810857  0.04748642 -0.08467957  0.053236    0.5593001
  0.29310855 -0.7961286  -0.17507558  0.002215   -0.29092535 -0.06188413
  0.06616714  0.18249199  0.248854   -0.04282827 -0.3836043  -0.25693443
  0.57799757  0.11666315  0.17262445  0.18721142  0.00260571  0.33772713
  0.14627871 -0.15695128  0.21467431  0.17271659  0.01909214 -0.58083016
 -0.06204314 -0.5257428  -0.02627571 -0.01213943 -0.33128342 -0.12540427
  0.01252138 -0.185776    0.199981    0.26499     0.363873    0.43986425
 -0.36896855 -0.87563145 -0.11674587 -0.04711828  1.0829445  -0.01277485
 -0.16070344  0.18134141 -0.05175128  0.13718358  0.37171286 -0.03464944
  0.16063528  0.10263     0.2383057  -0.12425957 -0.10162143 -0.00903471
  0.14192343  0.00427144  0.22453     0.36222002  0.39849567  0.10331886
 -0.45986718  0.02113899 -0.02488657  0.12848659 -0.21210955 -0.03716287
 -0.38627     0.14591329  0.64682996 -0.090698   -0.29208374 -0.06192572
  0.02908099  0.38306928  0.17083128 -0.02474942  0.16045856 -0.026738
  0.39989    -0.09701514 -0.07114     0.033342  ]","['sku0589', 'sku0754', 'sku0556', 'sku0246', 'sku0599']",sku4764
Office Supplies,Supplies,Kleencut Forged Office Shears by Acme United Corporation,Office Supplies Supplies Kleencut Forged Office Shears by Acme United Corporation,"[ 0.01748956 -0.0724611   0.14022666 -0.08844956  0.36248887 -0.6117799
 -0.25296587  0.272309    0.03682322  0.05278623  0.16212168 -0.44311267
  0.24336332  0.38996956  0.04494033 -0.2961642   0.50229555  0.13083689
 -0.06666    -0.43132627  0.16814634 -0.03160111  0.22012587 -0.16163778
 -0.18552868 -0.1349011   0.16863666 -0.31721115 -0.16106346  0.05067511
  0.3785951   0.38164556 -0.19582666 -0.05565955 -0.22092888  0.24894577
  0.17318244 -0.00180423  0.20681222 -0.26182508 -0.18309112 -0.18908188
 -0.04677223 -0.15990072  0.48721218 -0.07258633  0.10821334 -0.19903
  0.20018047 -0.37951553 -0.03727554  0.0730051   0.26509577  0.679301
  0.20169754 -1.5553877   0.01331778 -0.25077742  1.2206111   0.12467689
  0.05107111 -0.18704668 -0.20909691  0.2291145   0.22898833 -0.14486888
  0.14873634  0.10556111  0.48720995  0.07968623 -0.09192556 -0.06891289
 -0.05855711 -0.3704278   0.41963223  0.09407834  0.24149257  0.07373878
 -0.9021      0.27827957  0.54663724  0.2016291  -0.4336138   0.34447557
 -0.61634654  0.08749378  0.4221522   0.02941755 -0.06255335 -0.34271893
  0.12568553 -0.098849   -0.14543866 -0.01166243 -0.22309889  0.18143667
  0.21968979 -0.20857692  0.32498443  0.08013577]","['sku1568', 'sku1242', 'sku0170', 'sku0504', 'sku1266']",sku4771
Office Supplies,Binders,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack","Office Supplies Binders Avery Triangle Shaped Sheet Lifters, Black, 2/Pack","[-1.84261099e-01  3.09675574e-01 -7.20706657e-02 -3.24400067e-01
  1.06556557e-01  6.33296669e-02 -7.02871084e-02  7.93300048e-02
 -1.94471553e-01  2.94959217e-01 -5.07233292e-02 -1.27308547e-01
  2.67736912e-01  3.71547669e-01 -5.60746640e-02  1.19608335e-01
  3.67321819e-01 -9.78593379e-02  2.61124462e-01 -6.10499978e-01
  1.16414666e-01 -6.32513389e-02 -1.27399459e-01 -1.34270981e-01
  2.32724458e-01  1.87031329e-01 -1.29604433e-02 -2.93797642e-01
 -2.47146443e-01 -1.30660444e-01  3.20654213e-01  1.34355009e-01
  2.45626003e-01 -6.34216741e-02 -1.16992012e-01  4.19538803e-02
  2.43532717e-01  4.54946995e-01  1.04658663e-01 -2.49568775e-01
 -3.75033356e-02 -3.64661992e-01 -1.27032474e-01 -1.67791113e-01
 -4.17066664e-02 -7.64087737e-02 -8.99611041e-02  3.50322276e-02
  5.07200994e-02  5.34228468e-03 -1.49433315e-01 -6.82917833e-02
  1.34340182e-01  6.56755567e-01 -4.07416672e-02 -1.32720900e+00
 -1.92463562e-01 -1.19066704e-02  9.13814247e-01  3.35914016e-01
 -7.47615397e-02  2.75738865e-01 -6.59402534e-02  4.12827551e-01
  2.94014633e-01 -2.69043773e-01  5.32355547e-01  2.28207216e-01
  9.29785594e-02 -9.86468941e-02 -7.46050617e-04  8.72337818e-03
 -4.06747684e-02  1.74449012e-01  3.01976085e-01  7.41588920e-02
  1.18342556e-01  5.59377819e-02 -7.87458941e-02  2.04089224e-01
  1.29337788e-01  8.96907747e-02 -5.23209631e-01  6.97894394e-02
 -4.16070014e-01 -1.36226997e-01  2.18240470e-01 -3.38646680e-01
  1.90567702e-01 -1.39302999e-01 -4.11271080e-02  2.78569069e-02
 -2.24153344e-02 -2.42891893e-01  1.63766682e-01 -6.04285784e-02
 -5.48834540e-02 -2.61751235e-01  2.53445536e-01  4.82943393e-02]","['sku0351', 'sku0901', 'sku0473', 'sku1214', 'sku0995']",sku4782
Technology,Accessories,Logitech Keyboard K120,Technology Accessories Logitech Keyboard K120,"[-0.22594625  0.330402    0.43142498  0.0027155   0.614645   -0.0981025
  0.070385   -0.193765    0.324191    0.33855227  0.056535   -0.37107748
 -0.22629474 -0.1887275   0.2547674   0.4890175  -0.08341449  0.050089
  0.3558325  -0.018344   -0.5056925  -0.49165753  0.5012897  -0.053025
  0.5051      0.08802     0.09795502 -0.23715    -0.029825   -0.127009
  0.03495876  0.4934525  -0.60499    -0.019096    0.33556497  0.1187975
  0.03505025 -0.06400751  0.5191325  -0.5907975   0.30601025  0.13559
  0.04555251 -0.41307998 -0.64728177  0.3859775   0.20630753 -0.0476625
  0.05529925 -0.00897425 -0.22742082  0.086805   -0.15139976  0.10486751
 -0.061545   -0.504385   -0.4235      0.11270247  0.82178247  0.10406501
  0.16757375  0.184665   -0.27432     0.57848    -0.05550851 -0.149405
  0.128005   -0.12801349  0.591965    0.27538252 -0.14897     0.2082675
  0.1456775  -0.19427025 -0.21677406 -0.1039      0.26514307  0.08919251
  0.23447807  0.069315    0.4713945  -0.3389495  -0.12123565  0.25525573
 -1.2134676   0.40902352  0.7053     -0.1795975  -0.22049725 -0.200189
 -0.24434726  0.5740344   0.52087754 -0.06271     0.35631502  0.07569825
 -0.267046   -0.5285888   1.0802699   0.064395  ]","['sku0107', 'sku0607', 'sku0344', 'sku0696', 'sku0769']",sku4788
Office Supplies,Paper,Xerox 1932,Office Supplies Paper Xerox 1932,"[-2.4032301e-01 -1.5749998e-02  3.8382448e-03  7.1035251e-02
  2.6365525e-01 -4.6919000e-01  3.9322510e-02  3.2689050e-01
  1.6218650e-01  1.8251576e-01  8.5578002e-02 -2.5753164e-01
  1.5037404e-01  3.6818752e-01 -2.4232826e-01 -2.5726375e-01
  5.3191000e-01  7.0882753e-02  3.6146000e-01 -5.8367002e-01
 -4.1832257e-02  1.1245750e-01  1.6279506e-02  2.5738752e-01
 -2.1933001e-01 -4.5168701e-01  1.5933500e-01 -2.7030075e-01
 -4.6366751e-01 -1.5116750e-01  4.3068075e-01  3.9206249e-01
 -2.7006751e-01 -1.2753750e-01 -4.7155249e-01  3.3237749e-01
  7.6539993e-02 -7.3067248e-02  2.6609749e-01 -4.3206251e-01
 -8.7329999e-02 -4.4424748e-01 -3.5692251e-01 -3.4254000e-01
 -1.5167999e-01  3.9675489e-02 -1.6122748e-01 -3.0448997e-01
 -2.4209702e-01 -4.5844001e-01  2.9263049e-01 -1.7106251e-01
  5.2227750e-02  7.5650227e-01 -6.5029994e-02 -1.5150200e+00
 -3.8243026e-01 -4.7055002e-02  1.4239700e+00  1.1609003e-02
 -8.7408304e-02 -2.1245250e-01 -4.4393975e-01  3.6853150e-01
  1.8426001e-01 -2.7576250e-01  4.9641499e-01  2.9115748e-01
  5.0292748e-01  2.2194077e-01  3.8728803e-02  2.1218273e-01
  3.0972006e-02 -2.9950252e-01  2.2171150e-01  1.0124998e-01
  2.3267749e-01  3.2435751e-01 -1.0018024e+00  3.0188078e-01
  6.1925751e-01  1.0820501e-01 -4.6360075e-01  4.0998924e-01
 -1.0180351e+00 -4.4175327e-01  4.0242749e-01 -1.9083151e-01
  1.0234974e-03 -9.3357757e-02  4.1245997e-01 -4.1873757e-02
  2.8908527e-01  2.8423579e-02 -3.6909500e-01  9.9650174e-03
  3.1374598e-01 -6.7124993e-02  3.5218501e-01  2.9398325e-01]","['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku4792
Office Supplies,Art,Dixon Ticonderoga Pencils,Office Supplies Art Dixon Ticonderoga Pencils,"[-0.17894699  0.07582667 -0.10306001 -0.15429828  0.290645   -0.225938
  0.14013     0.1450685  -0.09197     0.10527549  0.00978462 -0.12463649
 -0.21230833  0.05948317 -0.15648884  0.03261167  0.35644832  0.09400749
 -0.05640499 -0.40873167  0.20821184 -0.07421166  0.01342916 -0.29696533
  0.20404999 -0.2793258  -0.07758667 -0.4237913  -0.09130383 -0.1609275
 -0.23845784  0.07354166 -0.08184534  0.07588    -0.19463499  0.1904195
 -0.13796218  0.02354535  0.058078   -0.30050367 -0.02531217 -0.50991833
 -0.27370834 -0.27178416 -0.2589493   0.00998534 -0.06254632 -0.3456345
  0.19402532 -0.10024608  0.045324   -0.00194168 -0.00163966  0.37559
 -0.050925   -1.2330483   0.0203715  -0.23034501  0.8752118  -0.07439283
  0.04692     0.32976496 -0.2153465   0.50243884  0.39523837 -0.15068316
  0.56754833  0.08173668  0.03276166  0.3014555  -0.20042498  0.35695753
 -0.12189665 -0.23181967  0.12117835  0.03566167  0.40887165  0.43357667
 -0.68467164 -0.03265449  0.14925067  0.03625734 -0.29587916  0.14901666
 -0.45795766 -0.2416805   0.1328745  -0.19391882  0.16997899 -0.28154364
 -0.12285334 -0.13196133  0.4215075   0.10607502 -0.38049164  0.08320251
  0.01485599 -0.37051854  0.14400834  0.22477384]","['sku1575', 'sku1044', 'sku0680', 'sku1115', 'sku0374']",sku4801
Furniture,Furnishings,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size","Furniture Furnishings DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size","[-0.18702175  0.7257933   0.06829808 -0.01120666  0.18277474 -0.15242748
 -0.17411478 -0.07885118 -0.02862341  0.25410235  0.4663588  -0.51902217
  0.03845375  0.06080168  0.16794117  0.18031292 -0.02103572  0.15616508
  0.0633354  -0.28779104  0.0460135  -0.09014831  0.2689059   0.06050265
  0.7490892  -0.1541283   0.12072933 -0.41363117 -0.19756918 -0.06246841
  0.01803476 -0.03040452 -0.24611431  0.18358248  0.279031    0.21688475
  0.1755011   0.17594999  0.3372761  -0.3279686   0.198977   -0.66559166
 -0.0431441  -0.11098725 -0.339327    0.08391976 -0.21405365  0.07730067
  0.19403534 -0.31948468  0.06379551  0.09052     0.0886305   0.47955585
 -0.2500324  -1.1732616  -0.40886596  0.17871358  1.0629941   0.1915565
  0.08370799  0.39185372 -0.30183086  0.6738784   0.37384    -0.31794575
  0.5246263   0.10516527  0.11341683 -0.29480127 -0.15996386  0.23518015
  0.144301    0.15825467  0.32769057  0.04726567  0.04238483  0.03972259
  0.03858499  0.03728164 -0.03466516  0.01408718 -0.03171667  0.20755418
 -0.36359954 -0.09194964  0.14692134 -0.40792537  0.16415276  0.05801084
  0.12891908 -0.09380559  0.4552829   0.05429417 -0.1445409  -0.4619381
 -0.3099815  -0.3979577   0.7414567  -0.09825475]","['sku0527', 'sku1170', 'sku1311', 'sku1449', 'sku0699']",sku4814
Technology,Machines,Texas Instrument TI-15 Fraction Calculator,Technology Machines Texas Instrument TI-15 Fraction Calculator,"[-0.36052167  0.5371684   0.263715   -0.05688766  0.09964832 -0.17237408
  0.3391033  -0.1217545   0.14150335  0.2774817   0.04706166 -0.5388696
 -0.07358783 -0.14550833 -0.03063834 -0.19511752  0.3337147   0.53222
  0.181315   -0.06634667 -0.10519666 -0.18240249  0.12533365 -0.13272999
  0.06394067 -0.04981834 -0.16106333 -0.02334825 -0.34935    -0.12348672
  0.08928168  0.47205165 -0.19483334  0.09322023  0.004556   -0.28569797
 -0.17592768 -0.07848998  0.38321665 -0.547347   -0.04870983 -0.25872454
 -0.25495836 -0.16119169 -0.51279783 -0.40805057  0.29489332 -0.07335217
 -0.14337865 -0.39236006 -0.07596222  0.1022935   0.17305899  0.44577003
  0.07953399 -1.1374718  -0.19756202 -0.1098235   1.3360567   0.41399834
  0.2970133   0.20185916 -0.1165      0.462145    0.10996167 -0.01138333
  0.21595669 -0.06574082  0.3483567   0.35495135 -0.14281632  0.09029984
  0.14406668  0.15031506 -0.01586934 -0.10766917  0.15660667 -0.175804
 -0.24345951 -0.00176983  0.61981004 -0.01835064 -0.43076047 -0.2287135
 -1.1220232   0.29163167  0.75631666 -0.50908     0.09469584 -0.25758842
 -0.03477666  0.23910792  0.20957433  0.158145   -0.18723051 -0.23893332
  0.01655434 -0.41822946  0.679583   -0.09680333]","['sku1762', 'sku1821', 'sku1537', 'sku1844', 'sku1139']",sku4824
Furniture,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat","Furniture Furnishings Deflect-o EconoMat Nonstudded, No Bevel Mat","[-0.20849925  0.14686999 -0.15456325 -0.15393251  0.14991601 -0.0093875
 -0.24549249  0.19407675  0.289493    0.27953973  0.3135525  -0.44732398
 -0.01078175  0.28048003  0.524946   -0.02637901 -0.37297612  0.2640445
 -0.00853    -0.5577215   0.1981335  -0.23851     0.601255   -0.15799025
  0.41863     0.0412875   0.05982824 -0.39169025 -0.696975   -0.29835674
 -0.06758924 -0.24935137 -0.27940097  0.11546    -0.22981098  0.13284925
 -0.17005475  0.19420248  0.1583025  -0.27984753  0.13372752  0.325545
  0.24621624 -0.3812705  -0.4858715   0.0643894  -0.507264    0.397967
  0.3507725  -0.18733506 -0.1976725   0.013153   -0.2939185   0.12426575
  0.11858624 -0.25904    -0.19571276  0.11075249  0.5453475  -0.041519
  0.0407     -0.05416775  0.115485    0.4886275  -0.22504501 -0.351946
  0.7472095  -0.022381   -0.28297573 -0.32912377 -0.15151657  0.1569325
  0.10383025 -0.17622     0.16248     0.09448226 -0.11934701  0.096477
  0.23059751  0.25898525 -0.401445    0.05723873  0.07429     0.23498753
  0.09071147 -0.17726502 -0.04279776 -0.26979354 -0.10676575 -0.04362749
  0.31017    -0.5209675   0.50137746 -0.21335751  0.02182224 -0.6558075
  0.05501725 -0.32782626  0.8342275  -0.13970675]","['sku0481', 'sku0270', 'sku1290', 'sku1379', 'sku1472']",sku4859
